T_magnitud,T_unidad,P_magnitud,P_unidad,Fuente
13.88,degC,0.092,atm,Dever et al. (1955)
14.6,degC,0.0958,atm,Dever et al. (1955)
15.37,degC,0.09975,atm,Dever et al. (1955)
15.7,degC,0.1017,atm,Dever et al. (1955)
16.34,degC,0.1056,atm,Dever et al. (1955)
16.73,degC,0.1077,atm,Dever et al. (1955)
17.27,degC,0.111,atm,Dever et al. (1955)
17.78,degC,0.114,atm,Dever et al. (1955)
18.28,degC,0.1171,atm,Dever et al. (1955)
18.83,degC,0.1207,atm,Dever et al. (1955)
19.41,degC,0.1245,atm,Dever et al. (1955)
19.83,degC,0.1273,atm,Dever et al. (1955)
20.34,degC,0.131,atm,Dever et al. (1955)
20.91,degC,0.1351,atm,Dever et al. (1955)
21.41,degC,0.1385,atm,Dever et al. (1955)
21.84,degC,0.1417,atm,Dever et al. (1955)
22.36,degC,0.1458,atm,Dever et al. (1955)
22.75,degC,0.1486,atm,Dever et al. (1955)
23.84,degC,0.1576,atm,Dever et al. (1955)
24.14,degC,0.1599,atm,Dever et al. (1955)
24.84,degC,0.1659,atm,Dever et al. (1955)
25.13,degC,0.1683,atm,Dever et al. (1955)
25.54,degC,0.1718,atm,Dever et al. (1955)
26.11,degC,0.177,atm,Dever et al. (1955)
26.34,degC,0.1789,atm,Dever et al. (1955)
27.09,degC,0.1864,atm,Dever et al. (1955)
27.27,degC,0.1882,atm,Dever et al. (1955)
28.22,degC,0.1979,atm,Dever et al. (1955)
28.52,degC,0.2001,atm,Dever et al. (1955)
29.07,degC,0.2061,atm,Dever et al. (1955)
29.84,degC,0.2142,atm,Dever et al. (1955)
30.57,degC,0.2224,atm,Dever et al. (1955)
30.77,degC,0.2238,atm,Dever et al. (1955)
31.32,degC,0.2306,atm,Dever et al. (1955)
31.64,degC,0.2342,atm,Dever et al. (1955)
32.09,degC,0.2396,atm,Dever et al. (1955)
32.61,degC,0.2456,atm,Dever et al. (1955)
33.45,degC,0.2561,atm,Dever et al. (1955)
