temperatura_Celsius,presion_MPa,volumen_cm3_mol-1,densidad_g_cm-3,viscosidad_mPa_s
0,0.1,204.61,1.3889,1717
5,0.1,205.25,1.3846,1119
10,0.1,205.89,1.3803,755
15,0.1,206.53,1.376,521
20,0.1,207.17,1.3717,369
25,0.1,207.82,1.3674,273
25,0.1,207.82,1.3674,271
25,12.1,206.77,1.3744,329
25,24.7,205.75,1.3812,391
25,25.7,205.67,1.3817,390
25,50.6,203.86,1.394,546
25,75.8,202.26,1.405,761
25,100.3,200.89,1.4146,1047
25,125.1,199.66,1.4233,1432
25,125.6,199.64,1.4235,1461
25,150.3,198.54,1.4313,1995
25,174.1,197.59,1.4382,2694
30,0.1,208.47,1.3632,202
40,0.1,209.73,1.355,120
50,0.1,211.01,1.3468,73.6
50,0.1,211.01,1.3468,74.1
50,1.3,210.89,1.3475,74.9
50,3.1,210.71,1.3487,76.9
50,5.6,210.46,1.3503,78.2
50,10.7,209.96,1.3535,82.7
50,25.8,208.6,1.3623,98.9
50,50.8,206.58,1.3757,127.8
50,75.8,204.83,1.3874,173.5
50,100.7,203.31,1.3978,224
50,125.5,201.96,1.4071,281
50,150.4,200.77,1.4155,371
50,175.2,199.7,1.4231,481
50,200,198.73,1.4299,616
50,224.6,197.87,1.4362,784
50,249.3,197.08,1.442,995
60,0.1,212.3,1.3386,49
60,0.1,212.3,1.3386,49.2
35,0.1,209.09,1.3591,158.4
35,0.9,209.02,1.3596,159.7
35,9.6,208.21,1.3649,179.1
35,25.8,206.83,1.374,221
35,50.3,204.97,1.3864,302
35,75.6,203.3,1.3978,412
35,100.3,201.86,1.4078,557
35,125.2,200.58,1.4168,750
35,140.6,199.86,1.4219,898
35,151,199.4,1.4252,1016
70,0.1,213.6,1.3304,35.1
70,5.5,213,1.3341,37.2
70,10.6,212.47,1.3375,39.2
70,25.7,210.98,1.347,45.6
70,50.6,208.8,1.361,58
70,75.6,206.92,1.3734,73.7
70,100.6,205.28,1.3844,92.9
70,125.4,203.85,1.3941,116.2
70,140.2,203.07,1.3994,132.6
70,149.9,202.59,1.4027,144.4
70,172.9,201.53,1.4101,176.1
80,0.1,214.9,1.3224,25.5
80,0.1,214.9,1.3224,25.5
40,0.1,209.73,1.355,120
50,0.1,211.01,1.3468,74.9
60,0.1,212.29,1.3386,49.9
60,0.1,212.29,1.3386,49.5
60,0.1,212.29,1.3386,49.5
60,10.7,211.21,1.3455,55.8
60,26.2,209.74,1.3549,66
60,51.1,207.65,1.3685,85.6
60,75.7,205.87,1.3804,109.8
60,91.1,204.87,1.3871,128
60,100.1,204.32,1.3909,139.4
70,0.1,213.59,1.3305,34.7
70,0.1,213.59,1.3305,34.6
